Token,200001,200002,200003,200004,200005,200006,200007,200008,200009,200010,200011,200012,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612
太太,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,1,2,1,0,1,0,0,1,4,0,1,0,2,0,0,1,8,0,0,0,0,0,2,0,0,0,10,10,11,9,5,7,5,21,5,10,9,15,7,20,26,13,15,12,8,6,13,9,14,14,9,95,131,47,112,80,53,113,89,76,50,90,78,305,332,273,454,324,286,330,388,265,246,309,317,292,280,239,258,335,315,253,256,284,275,345,277,135,120,248,167,256,310,138,174,252,242,241,230
女友,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,5,3,9,3,5,0,0,0,16,11,2,0,0,1,0,0,0,0,0,1,1,3,0,1,0,2,6,1,1,0,0,0,0,0,21,3,1,2,1,5,2,2,7,8,3,1,11,1,4,8,4,0,8,14,5,12,1,0,40,76,28,36,43,29,51,65,30,38,27,42,88,47,67,115,49,55,113,54,51,43,54,48,1760,1789,1690,1687,1499,1348,1760,1671,1588,807,1556,1719,2522,2714,1930,2121,2663,2350,2170,2913,2182,2454,2598,2274,3016,3090,2802,3113,2918,2890,2700,3013,3409,2829,3603,2896,2129,1896,3168,1953,3253,3161,1954,2009,3212,2409,3191,2958
女神,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,4,0,1,0,1,0,1,2,2,11,1,12,11,1,6,8,3,0,2,1,8,20,11,10,15,4,21,7,4,6,9,5,71,60,43,82,112,19,109,63,48,20,55,45,277,375,230,293,334,394,468,424,287,273,314,228,466,490,498,392,411,410,260,434,427,454,444,431,433,249,430,342,375,310,427,255,431,272,315,372
姑娘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,0,0,1,0,1,1,0,0,1,6,2,1,2,6,0,0,1,18,15,5,13,14,9,10,17,6,4,23,18,25,49,30,23,33,37,36,17,24,38,32,28,57,50,39,66,50,38,45,38,76,49,65,59,29,19,22,54,48,34,56,34,39,59,63,67
婊子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,5,4,0,0,1,2,0,1,0,3,0,0,0,0,16,9,4,45,8,4,42,13,8,3,5,4,50,66,71,34,47,55,59,63,94,77,78,59,126,101,61,128,92,49,109,94,109,48,103,75,52,31,69,48,105,85,34,60,102,88,129,89
嬌娃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,1,1,0,1,1,1,1,0,0,0,2,1,2,2,2,1,4,0,1,2,5,2,2,0,0,3,2,2,7,3,1,1,2,0,1,1,1,1,4,1,3,0,2,0,3
宅男,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,2,1,2,0,2,0,4,2,4,0,2,3,3,4,0,2,1,6,7,5,35,29,24,29,13,16,82,44,18,14,17,31,72,116,74,70,118,115,109,147,139,81,160,64,153,123,126,110,160,145,74,138,151,135,117,124,95,86,106,99,139,114,104,69,84,100,105,89
小子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,2,0,0,0,2,2,7,3,1,7,1,1,0,2,1,0,0,26,35,36,45,40,27,63,22,26,3,23,41,87,61,54,66,101,70,55,50,76,48,56,41,72,47,66,49,93,68,59,47,105,50,57,63,34,24,57,28,65,52,22,33,76,57,74,52
少年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,3,1,0,0,1,0,0,0,0,0,2,0,0,0,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,3,0,0,2,0,5,0,1,9,0,0,0,0,4,25,6,21,23,2,7,9,6,6,5,2,13,37,1,36,9,13,77,14,13,15,15,20,122,77,55,70,74,49,116,64,76,68,73,74,241,406,315,225,356,401,281,312,311,304,418,248,378,430,349,373,645,303,332,487,482,399,470,420,221,320,424,342,394,302,324,340,329,320,640,373
帥哥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,0,1,0,0,1,0,0,2,4,2,0,6,0,0,2,0,0,2,0,0,1,0,0,0,0,2,5,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,4,0,3,1,0,1,4,6,3,0,0,14,9,4,3,9,2,8,10,4,4,5,8,25,12,3,58,31,16,27,22,15,6,12,21,132,132,117,173,145,99,233,99,162,64,99,153,244,475,283,283,382,320,363,302,405,336,417,311,617,630,620,580,562,486,469,554,646,437,603,599,407,355,681,454,661,539,465,450,585,449,515,685
正妹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,20,8,2,9,3,22,1,0,4,18,8,0,10,4,0,13,0,0,11,4,9,2,0,8,9,10,9,0,1,9,2,8,19,8,4,5,4,5,8,3,8,3,20,6,13,0,7,12,7,7,14,1,6,11,5,8,12,6,66,106,9,48,75,10,79,88,8,13,15,10,81,110,65,90,119,65,69,101,74,90,79,67,331,298,276,405,304,182,515,229,344,167,268,285,810,1636,727,844,1520,1041,1243,1398,1190,975,1115,725,1711,1337,1788,1407,1499,1433,1279,1643,1738,1455,1845,1874,1469,1233,1606,1249,1678,1432,1360,1261,1886,1030,1720,1759
